Jan,Day ,Total
01-Jan,Friday,46
02-Jan,Saturday,9
03-Jan,Sunday,14
04-Jan,Monday,4
05-Jan,Tuesday,9
06-Jan,Wednesday,9
07-Jan,Thursday,15
08-Jan,Friday,11
09-Jan,Saturday,13
10-Jan,Sunday,15
11-Jan,Monday,7
12-Jan,Tuesday,6
13-Jan,Wednesday,5
14-Jan,Thursday,6
15-Jan,Friday,15
16-Jan,Saturday,24
17-Jan,Sunday,24
18-Jan,Monday,10
19-Jan,Tuesday,7
20-Jan,Wednesday,9
21-Jan,Thursday,7
22-Jan,Friday,7
23-Jan,Saturday,19
24-Jan,Sunday,24
25-Jan,Monday,9
26-Jan,Tuesday,10
27-Jan,Wednesday,9
28-Jan,Thursday,6
29-Jan,Friday,8
30-Jan,Saturday,25
31-Jan,Sunday,16
01-Feb,Monday,9
02-Feb,Tuesday,4
03-Feb,Wednesday,4
04-Feb,Thursday,15
05-Feb,Friday,14
06-Feb,Saturday,23
07-Feb,Sunday,17
08-Feb,Monday,6
09-Feb,Tuesday,11
10-Feb,Wednesday,6
11-Feb,Thursday,13
12-Feb,Friday,13
13-Feb,Saturday,20
14-Feb,Sunday,18
15-Feb,Monday,11
16-Feb,Tuesday,11
17-Feb,Wednesday,12
18-Feb,Thursday,11
19-Feb,Friday,19
20-Feb,Saturday,24
21-Feb,Sunday,19
22-Feb,Monday,6
23-Feb,Tuesday,7
24-Feb,Wednesday,11
25-Feb,Thursday,9
26-Feb,Friday,18
27-Feb,Saturday,21
28-Feb,Sunday,35
01-Mar,Monday,10
02-Mar,Tuesday,11
03-Mar,Wednesday,5
04-Mar,Thursday,12
05-Mar,Friday,12
06-Mar,Saturday,18
07-Mar,Sunday,24
08-Mar,Monday,6
09-Mar,Tuesday,8
10-Mar,Wednesday,10
11-Mar,Thursday,15
12-Mar,Friday,15
13-Mar,Saturday,25
14-Mar,Sunday,28
15-Mar,Monday,6
16-Mar,Tuesday,4
17-Mar,Wednesday,12
18-Mar,Thursday,5
19-Mar,Friday,11
20-Mar,Saturday,25
21-Mar,Sunday,26
22-Mar,Monday,12
23-Mar,Tuesday,6
24-Mar,Wednesday,9
25-Mar,Thursday,14
26-Mar,Friday,5
27-Mar,Saturday,13
28-Mar,Sunday,26
29-Mar,Monday,13
30-Mar,Tuesday,9
31-Mar,Wednesday,16
01-Apr,Thursday,11
02-Apr,Friday,9
03-Apr,Saturday,17
04-Apr,Sunday,30
05-Apr,Monday,11
06-Apr,Tuesday,11
07-Apr,Wednesday,8
08-Apr,Thursday,10
09-Apr,Friday,14
10-Apr,Saturday,23
11-Apr,Sunday,18
12-Apr,Monday,12
13-Apr,Tuesday,18
14-Apr,Wednesday,7
15-Apr,Thursday,8
16-Apr,Friday,13
17-Apr,Saturday,28
18-Apr,Sunday,24
19-Apr,Monday,14
20-Apr,Tuesday,10
21-Apr,Wednesday,9
22-Apr,Thursday,8
23-Apr,Friday,12
24-Apr,Saturday,21
25-Apr,Sunday,28
26-Apr,Monday,12
27-Apr,Tuesday,10
28-Apr,Wednesday,13
29-Apr,Thursday,14
30-Apr,Friday,8
01-May,Saturday,25
02-May,Sunday,25
03-May,Monday,15
04-May,Tuesday,8
05-May,Wednesday,9
06-May,Thursday,8
07-May,Friday,9
08-May,Saturday,23
09-May,Sunday,17
10-May,Monday,8
11-May,Tuesday,9
12-May,Wednesday,7
13-May,Thursday,10
14-May,Friday,13
15-May,Saturday,22
16-May,Sunday,21
17-May,Monday,8
18-May,Tuesday,16
19-May,Wednesday,16
20-May,Thursday,17
21-May,Friday,12
22-May,Saturday,21
23-May,Sunday,22
24-May,Monday,10
25-May,Tuesday,5
26-May,Wednesday,9
27-May,Thursday,13
28-May,Friday,17
29-May,Saturday,23
30-May,Sunday,28
31-May,Monday,27
01-Jun,Tuesday,18
02-Jun,Wednesday,11
03-Jun,Thursday,14
04-Jun,Friday,18
05-Jun,Saturday,19
06-Jun,Sunday,26
07-Jun,Monday,14
08-Jun,Tuesday,13
09-Jun,Wednesday,11
10-Jun,Thursday,14
11-Jun,Friday,11
12-Jun,Saturday,16
13-Jun,Sunday,33
14-Jun,Monday,12
15-Jun,Tuesday,9
16-Jun,Wednesday,5
17-Jun,Thursday,14
18-Jun,Friday,9
19-Jun,Saturday,24
20-Jun,Sunday,21
21-Jun,Monday,14
22-Jun,Tuesday,10
23-Jun,Wednesday,11
24-Jun,Thursday,15
25-Jun,Friday,11
26-Jun,Saturday,31
27-Jun,Sunday,29
28-Jun,Monday,16
29-Jun,Tuesday,18
30-Jun,Wednesday,9
01-Jul,Thursday,10
02-Jul,Friday,19
03-Jul,Saturday,18
04-Jul,Sunday,23
05-Jul,Monday,15
06-Jul,Tuesday,7
07-Jul,Wednesday,7
08-Jul,Thursday,18
09-Jul,Friday,13
10-Jul,Saturday,28
11-Jul,Sunday,22
12-Jul,Monday,18
13-Jul,Tuesday,8
14-Jul,Wednesday,12
15-Jul,Thursday,15
16-Jul,Friday,11
17-Jul,Saturday,31
18-Jul,Sunday,24
19-Jul,Monday,15
20-Jul,Tuesday,8
